GemName,OrtName,Landuse,WegeDauer,Anzahl
Gundelfingen,Wildtal,commercial,0,0
Gundelfingen,Wildtal,commercial,5,0
Gundelfingen,Wildtal,commercial,10,0
Gundelfingen,Wildtal,commercial,15,0
Gundelfingen,Wildtal,commercial,20,0
Gundelfingen,Wildtal,commercial,25,0
Gundelfingen,Wildtal,commercial,30,0
Gundelfingen,Wildtal,commercial,40,0
Gundelfingen,Wildtal,commercial,120,0
Gundelfingen,Wildtal,farmyard,0,0
Gundelfingen,Wildtal,farmyard,5,0
Gundelfingen,Wildtal,farmyard,10,0
Gundelfingen,Wildtal,farmyard,15,0
Gundelfingen,Wildtal,farmyard,20,0
Gundelfingen,Wildtal,farmyard,25,0
Gundelfingen,Wildtal,farmyard,30,0
Gundelfingen,Wildtal,farmyard,40,0
Gundelfingen,Wildtal,farmyard,120,14
Gundelfingen,Wildtal,industrial,0,0
Gundelfingen,Wildtal,industrial,5,0
Gundelfingen,Wildtal,industrial,10,0
Gundelfingen,Wildtal,industrial,15,0
Gundelfingen,Wildtal,industrial,20,0
Gundelfingen,Wildtal,industrial,25,0
Gundelfingen,Wildtal,industrial,30,0
Gundelfingen,Wildtal,industrial,40,0
Gundelfingen,Wildtal,industrial,120,0
Gundelfingen,Wildtal,residential,0,0
Gundelfingen,Wildtal,residential,5,0
Gundelfingen,Wildtal,residential,10,0
Gundelfingen,Wildtal,residential,15,0
Gundelfingen,Wildtal,residential,20,0
Gundelfingen,Wildtal,residential,25,0
Gundelfingen,Wildtal,residential,30,0
Gundelfingen,Wildtal,residential,40,6
Gundelfingen,Wildtal,residential,120,32
Gundelfingen,Wildtal,unbekannt,0,0
Gundelfingen,Wildtal,unbekannt,5,0
Gundelfingen,Wildtal,unbekannt,10,0
Gundelfingen,Wildtal,unbekannt,15,0
Gundelfingen,Wildtal,unbekannt,20,0
Gundelfingen,Wildtal,unbekannt,25,0
Gundelfingen,Wildtal,unbekannt,30,74
Gundelfingen,Wildtal,unbekannt,40,231
Gundelfingen,Wildtal,unbekannt,120,4
Gundelfingen,Gundelfingen,commercial,0,0
Gundelfingen,Gundelfingen,commercial,5,0
Gundelfingen,Gundelfingen,commercial,10,24
Gundelfingen,Gundelfingen,commercial,15,63
Gundelfingen,Gundelfingen,commercial,20,17
Gundelfingen,Gundelfingen,commercial,25,10
Gundelfingen,Gundelfingen,commercial,30,0
Gundelfingen,Gundelfingen,commercial,40,0
Gundelfingen,Gundelfingen,commercial,120,0
Gundelfingen,Gundelfingen,farmyard,0,0
Gundelfingen,Gundelfingen,farmyard,5,0
Gundelfingen,Gundelfingen,farmyard,10,0
Gundelfingen,Gundelfingen,farmyard,15,0
Gundelfingen,Gundelfingen,farmyard,20,0
Gundelfingen,Gundelfingen,farmyard,25,0
Gundelfingen,Gundelfingen,farmyard,30,0
Gundelfingen,Gundelfingen,farmyard,40,4
Gundelfingen,Gundelfingen,farmyard,120,5
Gundelfingen,Gundelfingen,industrial,0,0
Gundelfingen,Gundelfingen,industrial,5,0
Gundelfingen,Gundelfingen,industrial,10,0
Gundelfingen,Gundelfingen,industrial,15,0
Gundelfingen,Gundelfingen,industrial,20,0
Gundelfingen,Gundelfingen,industrial,25,0
Gundelfingen,Gundelfingen,industrial,30,1
Gundelfingen,Gundelfingen,industrial,40,0
Gundelfingen,Gundelfingen,industrial,120,0
Gundelfingen,Gundelfingen,residential,0,0
Gundelfingen,Gundelfingen,residential,5,114
Gundelfingen,Gundelfingen,residential,10,366
Gundelfingen,Gundelfingen,residential,15,457
Gundelfingen,Gundelfingen,residential,20,451
Gundelfingen,Gundelfingen,residential,25,240
Gundelfingen,Gundelfingen,residential,30,225
Gundelfingen,Gundelfingen,residential,40,75
Gundelfingen,Gundelfingen,residential,120,0
Gundelfingen,Gundelfingen,unbekannt,0,0
Gundelfingen,Gundelfingen,unbekannt,5,0
Gundelfingen,Gundelfingen,unbekannt,10,0
Gundelfingen,Gundelfingen,unbekannt,15,0
Gundelfingen,Gundelfingen,unbekannt,20,3
Gundelfingen,Gundelfingen,unbekannt,25,7
Gundelfingen,Gundelfingen,unbekannt,30,10
Gundelfingen,Gundelfingen,unbekannt,40,6
Gundelfingen,Gundelfingen,unbekannt,120,4
