GemName,OrtName,Landuse,WegeDauer,Anzahl
Münstertal,Obermünstertal,commercial,0,0
Münstertal,Obermünstertal,commercial,5,0
Münstertal,Obermünstertal,commercial,10,0
Münstertal,Obermünstertal,commercial,15,0
Münstertal,Obermünstertal,commercial,20,0
Münstertal,Obermünstertal,commercial,25,0
Münstertal,Obermünstertal,commercial,30,0
Münstertal,Obermünstertal,commercial,40,0
Münstertal,Obermünstertal,commercial,120,2
Münstertal,Obermünstertal,farmyard,0,0
Münstertal,Obermünstertal,farmyard,5,2
Münstertal,Obermünstertal,farmyard,10,3
Münstertal,Obermünstertal,farmyard,15,1
Münstertal,Obermünstertal,farmyard,20,0
Münstertal,Obermünstertal,farmyard,25,2
Münstertal,Obermünstertal,farmyard,30,8
Münstertal,Obermünstertal,farmyard,40,14
Münstertal,Obermünstertal,farmyard,120,32
Münstertal,Obermünstertal,industrial,0,0
Münstertal,Obermünstertal,industrial,5,0
Münstertal,Obermünstertal,industrial,10,0
Münstertal,Obermünstertal,industrial,15,2
Münstertal,Obermünstertal,industrial,20,0
Münstertal,Obermünstertal,industrial,25,0
Münstertal,Obermünstertal,industrial,30,0
Münstertal,Obermünstertal,industrial,40,0
Münstertal,Obermünstertal,industrial,120,0
Münstertal,Obermünstertal,residential,0,0
Münstertal,Obermünstertal,residential,5,29
Münstertal,Obermünstertal,residential,10,20
Münstertal,Obermünstertal,residential,15,17
Münstertal,Obermünstertal,residential,20,27
Münstertal,Obermünstertal,residential,25,16
Münstertal,Obermünstertal,residential,30,21
Münstertal,Obermünstertal,residential,40,21
Münstertal,Obermünstertal,residential,120,76
Münstertal,Obermünstertal,unbekannt,0,0
Münstertal,Obermünstertal,unbekannt,5,0
Münstertal,Obermünstertal,unbekannt,10,2
Münstertal,Obermünstertal,unbekannt,15,0
Münstertal,Obermünstertal,unbekannt,20,5
Münstertal,Obermünstertal,unbekannt,25,3
Münstertal,Obermünstertal,unbekannt,30,9
Münstertal,Obermünstertal,unbekannt,40,20
Münstertal,Obermünstertal,unbekannt,120,21
Münstertal,Untermünstertal,commercial,0,0
Münstertal,Untermünstertal,commercial,5,0
Münstertal,Untermünstertal,commercial,10,0
Münstertal,Untermünstertal,commercial,15,0
Münstertal,Untermünstertal,commercial,20,0
Münstertal,Untermünstertal,commercial,25,7
Münstertal,Untermünstertal,commercial,30,0
Münstertal,Untermünstertal,commercial,40,0
Münstertal,Untermünstertal,commercial,120,3
Münstertal,Untermünstertal,farmyard,0,0
Münstertal,Untermünstertal,farmyard,5,0
Münstertal,Untermünstertal,farmyard,10,0
Münstertal,Untermünstertal,farmyard,15,0
Münstertal,Untermünstertal,farmyard,20,0
Münstertal,Untermünstertal,farmyard,25,0
Münstertal,Untermünstertal,farmyard,30,0
Münstertal,Untermünstertal,farmyard,40,1
Münstertal,Untermünstertal,farmyard,120,19
Münstertal,Untermünstertal,industrial,0,0
Münstertal,Untermünstertal,industrial,5,0
Münstertal,Untermünstertal,industrial,10,0
Münstertal,Untermünstertal,industrial,15,0
Münstertal,Untermünstertal,industrial,20,0
Münstertal,Untermünstertal,industrial,25,0
Münstertal,Untermünstertal,industrial,30,0
Münstertal,Untermünstertal,industrial,40,0
Münstertal,Untermünstertal,industrial,120,0
Münstertal,Untermünstertal,residential,0,0
Münstertal,Untermünstertal,residential,5,53
Münstertal,Untermünstertal,residential,10,196
Münstertal,Untermünstertal,residential,15,121
Münstertal,Untermünstertal,residential,20,65
Münstertal,Untermünstertal,residential,25,105
Münstertal,Untermünstertal,residential,30,83
Münstertal,Untermünstertal,residential,40,119
Münstertal,Untermünstertal,residential,120,126
Münstertal,Untermünstertal,unbekannt,0,0
Münstertal,Untermünstertal,unbekannt,5,0
Münstertal,Untermünstertal,unbekannt,10,0
Münstertal,Untermünstertal,unbekannt,15,3
Münstertal,Untermünstertal,unbekannt,20,4
Münstertal,Untermünstertal,unbekannt,25,3
Münstertal,Untermünstertal,unbekannt,30,5
Münstertal,Untermünstertal,unbekannt,40,6
Münstertal,Untermünstertal,unbekannt,120,16
Münstertal,Münstertal,commercial,0,0
Münstertal,Münstertal,commercial,5,0
Münstertal,Münstertal,commercial,10,0
Münstertal,Münstertal,commercial,15,0
Münstertal,Münstertal,commercial,20,0
Münstertal,Münstertal,commercial,25,0
Münstertal,Münstertal,commercial,30,0
Münstertal,Münstertal,commercial,40,0
Münstertal,Münstertal,commercial,120,0
Münstertal,Münstertal,farmyard,0,0
Münstertal,Münstertal,farmyard,5,0
Münstertal,Münstertal,farmyard,10,0
Münstertal,Münstertal,farmyard,15,0
Münstertal,Münstertal,farmyard,20,0
Münstertal,Münstertal,farmyard,25,0
Münstertal,Münstertal,farmyard,30,0
Münstertal,Münstertal,farmyard,40,0
Münstertal,Münstertal,farmyard,120,0
Münstertal,Münstertal,industrial,0,0
Münstertal,Münstertal,industrial,5,0
Münstertal,Münstertal,industrial,10,0
Münstertal,Münstertal,industrial,15,0
Münstertal,Münstertal,industrial,20,0
Münstertal,Münstertal,industrial,25,0
Münstertal,Münstertal,industrial,30,0
Münstertal,Münstertal,industrial,40,0
Münstertal,Münstertal,industrial,120,0
Münstertal,Münstertal,residential,0,0
Münstertal,Münstertal,residential,5,0
Münstertal,Münstertal,residential,10,0
Münstertal,Münstertal,residential,15,0
Münstertal,Münstertal,residential,20,0
Münstertal,Münstertal,residential,25,0
Münstertal,Münstertal,residential,30,0
Münstertal,Münstertal,residential,40,0
Münstertal,Münstertal,residential,120,1
Münstertal,Münstertal,unbekannt,0,0
Münstertal,Münstertal,unbekannt,5,0
Münstertal,Münstertal,unbekannt,10,0
Münstertal,Münstertal,unbekannt,15,0
Münstertal,Münstertal,unbekannt,20,0
Münstertal,Münstertal,unbekannt,25,0
Münstertal,Münstertal,unbekannt,30,0
Münstertal,Münstertal,unbekannt,40,0
Münstertal,Münstertal,unbekannt,120,0
