GemName,OrtName,Landuse,WegeDauer,Anzahl
Glottertal,Föhrental,farmyard,0,0
Glottertal,Föhrental,farmyard,5,0
Glottertal,Föhrental,farmyard,10,0
Glottertal,Föhrental,farmyard,15,0
Glottertal,Föhrental,farmyard,20,0
Glottertal,Föhrental,farmyard,25,0
Glottertal,Föhrental,farmyard,30,0
Glottertal,Föhrental,farmyard,40,2
Glottertal,Föhrental,farmyard,120,19
Glottertal,Föhrental,industrial,0,0
Glottertal,Föhrental,industrial,5,0
Glottertal,Föhrental,industrial,10,0
Glottertal,Föhrental,industrial,15,0
Glottertal,Föhrental,industrial,20,0
Glottertal,Föhrental,industrial,25,0
Glottertal,Föhrental,industrial,30,0
Glottertal,Föhrental,industrial,40,0
Glottertal,Föhrental,industrial,120,2
Glottertal,Föhrental,residential,0,0
Glottertal,Föhrental,residential,5,0
Glottertal,Föhrental,residential,10,0
Glottertal,Föhrental,residential,15,0
Glottertal,Föhrental,residential,20,5
Glottertal,Föhrental,residential,25,10
Glottertal,Föhrental,residential,30,13
Glottertal,Föhrental,residential,40,3
Glottertal,Föhrental,residential,120,7
Glottertal,Föhrental,unbekannt,0,0
Glottertal,Föhrental,unbekannt,5,0
Glottertal,Föhrental,unbekannt,10,0
Glottertal,Föhrental,unbekannt,15,0
Glottertal,Föhrental,unbekannt,20,0
Glottertal,Föhrental,unbekannt,25,0
Glottertal,Föhrental,unbekannt,30,0
Glottertal,Föhrental,unbekannt,40,19
Glottertal,Föhrental,unbekannt,120,27
Glottertal,Ohrensbach,farmyard,0,0
Glottertal,Ohrensbach,farmyard,5,0
Glottertal,Ohrensbach,farmyard,10,1
Glottertal,Ohrensbach,farmyard,15,1
Glottertal,Ohrensbach,farmyard,20,0
Glottertal,Ohrensbach,farmyard,25,0
Glottertal,Ohrensbach,farmyard,30,0
Glottertal,Ohrensbach,farmyard,40,0
Glottertal,Ohrensbach,farmyard,120,0
Glottertal,Ohrensbach,industrial,0,0
Glottertal,Ohrensbach,industrial,5,0
Glottertal,Ohrensbach,industrial,10,0
Glottertal,Ohrensbach,industrial,15,0
Glottertal,Ohrensbach,industrial,20,0
Glottertal,Ohrensbach,industrial,25,0
Glottertal,Ohrensbach,industrial,30,0
Glottertal,Ohrensbach,industrial,40,0
Glottertal,Ohrensbach,industrial,120,0
Glottertal,Ohrensbach,residential,0,0
Glottertal,Ohrensbach,residential,5,9
Glottertal,Ohrensbach,residential,10,19
Glottertal,Ohrensbach,residential,15,37
Glottertal,Ohrensbach,residential,20,25
Glottertal,Ohrensbach,residential,25,28
Glottertal,Ohrensbach,residential,30,5
Glottertal,Ohrensbach,residential,40,1
Glottertal,Ohrensbach,residential,120,2
Glottertal,Ohrensbach,unbekannt,0,0
Glottertal,Ohrensbach,unbekannt,5,0
Glottertal,Ohrensbach,unbekannt,10,0
Glottertal,Ohrensbach,unbekannt,15,0
Glottertal,Ohrensbach,unbekannt,20,2
Glottertal,Ohrensbach,unbekannt,25,38
Glottertal,Ohrensbach,unbekannt,30,11
Glottertal,Ohrensbach,unbekannt,40,1
Glottertal,Ohrensbach,unbekannt,120,1
Glottertal,Unterglottertal,farmyard,0,0
Glottertal,Unterglottertal,farmyard,5,0
Glottertal,Unterglottertal,farmyard,10,0
Glottertal,Unterglottertal,farmyard,15,1
Glottertal,Unterglottertal,farmyard,20,0
Glottertal,Unterglottertal,farmyard,25,0
Glottertal,Unterglottertal,farmyard,30,2
Glottertal,Unterglottertal,farmyard,40,1
Glottertal,Unterglottertal,farmyard,120,0
Glottertal,Unterglottertal,industrial,0,0
Glottertal,Unterglottertal,industrial,5,0
Glottertal,Unterglottertal,industrial,10,0
Glottertal,Unterglottertal,industrial,15,0
Glottertal,Unterglottertal,industrial,20,0
Glottertal,Unterglottertal,industrial,25,0
Glottertal,Unterglottertal,industrial,30,0
Glottertal,Unterglottertal,industrial,40,0
Glottertal,Unterglottertal,industrial,120,0
Glottertal,Unterglottertal,residential,0,0
Glottertal,Unterglottertal,residential,5,35
Glottertal,Unterglottertal,residential,10,58
Glottertal,Unterglottertal,residential,15,60
Glottertal,Unterglottertal,residential,20,67
Glottertal,Unterglottertal,residential,25,64
Glottertal,Unterglottertal,residential,30,14
Glottertal,Unterglottertal,residential,40,7
Glottertal,Unterglottertal,residential,120,1
Glottertal,Unterglottertal,unbekannt,0,0
Glottertal,Unterglottertal,unbekannt,5,2
Glottertal,Unterglottertal,unbekannt,10,5
Glottertal,Unterglottertal,unbekannt,15,1
Glottertal,Unterglottertal,unbekannt,20,2
Glottertal,Unterglottertal,unbekannt,25,0
Glottertal,Unterglottertal,unbekannt,30,1
Glottertal,Unterglottertal,unbekannt,40,0
Glottertal,Unterglottertal,unbekannt,120,0
Glottertal,Oberglottertal,farmyard,0,0
Glottertal,Oberglottertal,farmyard,5,0
Glottertal,Oberglottertal,farmyard,10,0
Glottertal,Oberglottertal,farmyard,15,0
Glottertal,Oberglottertal,farmyard,20,0
Glottertal,Oberglottertal,farmyard,25,0
Glottertal,Oberglottertal,farmyard,30,0
Glottertal,Oberglottertal,farmyard,40,4
Glottertal,Oberglottertal,farmyard,120,36
Glottertal,Oberglottertal,industrial,0,0
Glottertal,Oberglottertal,industrial,5,0
Glottertal,Oberglottertal,industrial,10,0
Glottertal,Oberglottertal,industrial,15,0
Glottertal,Oberglottertal,industrial,20,0
Glottertal,Oberglottertal,industrial,25,0
Glottertal,Oberglottertal,industrial,30,0
Glottertal,Oberglottertal,industrial,40,0
Glottertal,Oberglottertal,industrial,120,0
Glottertal,Oberglottertal,residential,0,0
Glottertal,Oberglottertal,residential,5,0
Glottertal,Oberglottertal,residential,10,0
Glottertal,Oberglottertal,residential,15,0
Glottertal,Oberglottertal,residential,20,5
Glottertal,Oberglottertal,residential,25,28
Glottertal,Oberglottertal,residential,30,19
Glottertal,Oberglottertal,residential,40,60
Glottertal,Oberglottertal,residential,120,48
Glottertal,Oberglottertal,unbekannt,0,0
Glottertal,Oberglottertal,unbekannt,5,0
Glottertal,Oberglottertal,unbekannt,10,0
Glottertal,Oberglottertal,unbekannt,15,0
Glottertal,Oberglottertal,unbekannt,20,0
Glottertal,Oberglottertal,unbekannt,25,0
Glottertal,Oberglottertal,unbekannt,30,1
Glottertal,Oberglottertal,unbekannt,40,3
Glottertal,Oberglottertal,unbekannt,120,8
Glottertal,Glottertal,farmyard,0,0
Glottertal,Glottertal,farmyard,5,0
Glottertal,Glottertal,farmyard,10,0
Glottertal,Glottertal,farmyard,15,0
Glottertal,Glottertal,farmyard,20,0
Glottertal,Glottertal,farmyard,25,0
Glottertal,Glottertal,farmyard,30,0
Glottertal,Glottertal,farmyard,40,0
Glottertal,Glottertal,farmyard,120,1
Glottertal,Glottertal,industrial,0,0
Glottertal,Glottertal,industrial,5,0
Glottertal,Glottertal,industrial,10,0
Glottertal,Glottertal,industrial,15,0
Glottertal,Glottertal,industrial,20,0
Glottertal,Glottertal,industrial,25,0
Glottertal,Glottertal,industrial,30,0
Glottertal,Glottertal,industrial,40,0
Glottertal,Glottertal,industrial,120,0
Glottertal,Glottertal,residential,0,0
Glottertal,Glottertal,residential,5,0
Glottertal,Glottertal,residential,10,0
Glottertal,Glottertal,residential,15,0
Glottertal,Glottertal,residential,20,0
Glottertal,Glottertal,residential,25,0
Glottertal,Glottertal,residential,30,0
Glottertal,Glottertal,residential,40,0
Glottertal,Glottertal,residential,120,0
Glottertal,Glottertal,unbekannt,0,0
Glottertal,Glottertal,unbekannt,5,0
Glottertal,Glottertal,unbekannt,10,0
Glottertal,Glottertal,unbekannt,15,0
Glottertal,Glottertal,unbekannt,20,0
Glottertal,Glottertal,unbekannt,25,0
Glottertal,Glottertal,unbekannt,30,0
Glottertal,Glottertal,unbekannt,40,0
Glottertal,Glottertal,unbekannt,120,0
