GemName,OrtName,Landuse,WegeDauer,Anzahl
Schallstadt,Wolfenweiler,commercial,0,0
Schallstadt,Wolfenweiler,commercial,5,3
Schallstadt,Wolfenweiler,commercial,10,5
Schallstadt,Wolfenweiler,commercial,15,1
Schallstadt,Wolfenweiler,commercial,20,0
Schallstadt,Wolfenweiler,commercial,25,1
Schallstadt,Wolfenweiler,commercial,30,1
Schallstadt,Wolfenweiler,commercial,40,0
Schallstadt,Wolfenweiler,commercial,120,0
Schallstadt,Wolfenweiler,farmyard,0,0
Schallstadt,Wolfenweiler,farmyard,5,0
Schallstadt,Wolfenweiler,farmyard,10,1
Schallstadt,Wolfenweiler,farmyard,15,2
Schallstadt,Wolfenweiler,farmyard,20,0
Schallstadt,Wolfenweiler,farmyard,25,0
Schallstadt,Wolfenweiler,farmyard,30,0
Schallstadt,Wolfenweiler,farmyard,40,0
Schallstadt,Wolfenweiler,farmyard,120,0
Schallstadt,Wolfenweiler,industrial,0,0
Schallstadt,Wolfenweiler,industrial,5,0
Schallstadt,Wolfenweiler,industrial,10,0
Schallstadt,Wolfenweiler,industrial,15,17
Schallstadt,Wolfenweiler,industrial,20,25
Schallstadt,Wolfenweiler,industrial,25,4
Schallstadt,Wolfenweiler,industrial,30,0
Schallstadt,Wolfenweiler,industrial,40,0
Schallstadt,Wolfenweiler,industrial,120,0
Schallstadt,Wolfenweiler,residential,0,0
Schallstadt,Wolfenweiler,residential,5,6
Schallstadt,Wolfenweiler,residential,10,46
Schallstadt,Wolfenweiler,residential,15,118
Schallstadt,Wolfenweiler,residential,20,170
Schallstadt,Wolfenweiler,residential,25,95
Schallstadt,Wolfenweiler,residential,30,61
Schallstadt,Wolfenweiler,residential,40,56
Schallstadt,Wolfenweiler,residential,120,0
Schallstadt,Wolfenweiler,unbekannt,0,0
Schallstadt,Wolfenweiler,unbekannt,5,3
Schallstadt,Wolfenweiler,unbekannt,10,3
Schallstadt,Wolfenweiler,unbekannt,15,0
Schallstadt,Wolfenweiler,unbekannt,20,4
Schallstadt,Wolfenweiler,unbekannt,25,7
Schallstadt,Wolfenweiler,unbekannt,30,4
Schallstadt,Wolfenweiler,unbekannt,40,0
Schallstadt,Wolfenweiler,unbekannt,120,0
Schallstadt,Mengen,commercial,0,0
Schallstadt,Mengen,commercial,5,0
Schallstadt,Mengen,commercial,10,0
Schallstadt,Mengen,commercial,15,0
Schallstadt,Mengen,commercial,20,0
Schallstadt,Mengen,commercial,25,0
Schallstadt,Mengen,commercial,30,0
Schallstadt,Mengen,commercial,40,0
Schallstadt,Mengen,commercial,120,0
Schallstadt,Mengen,farmyard,0,0
Schallstadt,Mengen,farmyard,5,0
Schallstadt,Mengen,farmyard,10,0
Schallstadt,Mengen,farmyard,15,0
Schallstadt,Mengen,farmyard,20,0
Schallstadt,Mengen,farmyard,25,1
Schallstadt,Mengen,farmyard,30,5
Schallstadt,Mengen,farmyard,40,3
Schallstadt,Mengen,farmyard,120,0
