GemName,OrtName,Landuse,WegeDauer,Anzahl
Hartheim am Rhein,Bremgarten,commercial,0,0
Hartheim am Rhein,Bremgarten,commercial,5,0
Hartheim am Rhein,Bremgarten,commercial,10,0
Hartheim am Rhein,Bremgarten,commercial,15,0
Hartheim am Rhein,Bremgarten,commercial,20,0
Hartheim am Rhein,Bremgarten,commercial,25,0
Hartheim am Rhein,Bremgarten,commercial,30,0
Hartheim am Rhein,Bremgarten,commercial,40,0
Hartheim am Rhein,Bremgarten,commercial,120,0
Hartheim am Rhein,Bremgarten,farmyard,0,0
Hartheim am Rhein,Bremgarten,farmyard,5,0
Hartheim am Rhein,Bremgarten,farmyard,10,0
Hartheim am Rhein,Bremgarten,farmyard,15,0
Hartheim am Rhein,Bremgarten,farmyard,20,0
Hartheim am Rhein,Bremgarten,farmyard,25,0
Hartheim am Rhein,Bremgarten,farmyard,30,0
Hartheim am Rhein,Bremgarten,farmyard,40,2
Hartheim am Rhein,Bremgarten,farmyard,120,8
Hartheim am Rhein,Bremgarten,industrial,0,0
Hartheim am Rhein,Bremgarten,industrial,5,0
Hartheim am Rhein,Bremgarten,industrial,10,0
Hartheim am Rhein,Bremgarten,industrial,15,0
Hartheim am Rhein,Bremgarten,industrial,20,0
Hartheim am Rhein,Bremgarten,industrial,25,0
Hartheim am Rhein,Bremgarten,industrial,30,0
Hartheim am Rhein,Bremgarten,industrial,40,0
Hartheim am Rhein,Bremgarten,industrial,120,38
Hartheim am Rhein,Bremgarten,residential,0,0
Hartheim am Rhein,Bremgarten,residential,5,0
Hartheim am Rhein,Bremgarten,residential,10,0
Hartheim am Rhein,Bremgarten,residential,15,0
Hartheim am Rhein,Bremgarten,residential,20,0
Hartheim am Rhein,Bremgarten,residential,25,0
Hartheim am Rhein,Bremgarten,residential,30,0
Hartheim am Rhein,Bremgarten,residential,40,34
Hartheim am Rhein,Bremgarten,residential,120,250
Hartheim am Rhein,Bremgarten,unbekannt,0,0
Hartheim am Rhein,Bremgarten,unbekannt,5,0
Hartheim am Rhein,Bremgarten,unbekannt,10,0
Hartheim am Rhein,Bremgarten,unbekannt,15,0
Hartheim am Rhein,Bremgarten,unbekannt,20,0
Hartheim am Rhein,Bremgarten,unbekannt,25,0
Hartheim am Rhein,Bremgarten,unbekannt,30,0
Hartheim am Rhein,Bremgarten,unbekannt,40,0
Hartheim am Rhein,Bremgarten,unbekannt,120,7
Hartheim am Rhein,Hartheim (Kernort),commercial,0,0
Hartheim am Rhein,Hartheim (Kernort),commercial,5,0
Hartheim am Rhein,Hartheim (Kernort),commercial,10,0
Hartheim am Rhein,Hartheim (Kernort),commercial,15,0
